"date","time","id","readsite"
2015-04-08,"23:49:02","*989001003024525","chivato"
2015-04-09,"00:33:03","*989001003024525","chivato"
2015-04-09,"00:51:07","*989001003024525","chivato"
2015-04-09,"02:17:32","*989001000315515","carmen"
2015-04-09,"19:18:41","*989001000315515","carmen"
2015-04-10,"03:08:32","*989001000315515","carmen"
2015-04-10,"19:22:26","*989001000315515","carmen"
2015-04-11,"04:36:49","*989001000315515","carmen"
2015-04-11,"19:12:49","*989001000315515","carmen"
2015-04-12,"03:23:23","*989001000315515","carmen"
2015-04-12,"03:32:33","*989001000315515","carmen"
2015-04-12,"04:11:38","*989001000315515","carmen"
2015-04-12,"19:15:13","*989001000315515","carmen"
2015-04-12,"20:05:06","*989001000315515","carmen"
2015-04-12,"20:36:58","*989001000315515","carmen"
2015-04-12,"21:43:20","*989001003024516","chivato"
2015-04-12,"22:42:01","*989001000315515","carmen"
2015-04-12,"23:32:08","*989001000315515","carmen"
2015-04-13,"01:00:49","*989001000315515","carmen"
2015-04-13,"20:03:43","*989001000315515","carmen"
2015-04-13,"22:07:29","*989001000315515","carmen"
2015-04-13,"22:46:33","*989001000315515","carmen"
2015-04-14,"01:00:18","*989001000315515","carmen"
2015-04-14,"03:26:13","*989001003024516","chivato"
2015-04-14,"03:54:25","*989001003024516","chivato"
2015-04-14,"19:37:09","*989001000315515","carmen"
2015-04-14,"21:10:29","*989001003024516","chivato"
2015-04-14,"21:13:14","*989001003024516","chivato"
2015-04-14,"21:30:57","*989001003024516","chivato"
2015-04-14,"23:01:03","*989001000315515","carmen"
2015-04-14,"23:30:11","*989001000315515","carmen"
2015-04-14,"23:42:27","*989001000315515","carmen"
2015-04-15,"01:56:10","*989001000315515","carmen"
2015-04-15,"19:14:32","*989001000315515","carmen"
2015-04-15,"19:16:09","*989001000315515","carmen"
2015-04-15,"20:41:41","*989001000315515","carmen"
2015-04-15,"20:53:57","*989001000315515","carmen"
2015-04-15,"21:06:43","*989001003024516","chivato"
2015-04-15,"21:08:32","*989001003024516","chivato"
2015-04-15,"21:08:51","*989001003024516","chivato"
2015-04-15,"21:22:49","*989001003024516","chivato"
2015-04-15,"22:09:21","*989001003024516","chivato"
2015-04-15,"23:12:34","*989001000315515","carmen"
2015-04-15,"23:53:27","*989001000315515","carmen"
2015-04-16,"00:56:58","*989001000315515","carmen"
2015-04-16,"04:26:44","*989001003024516","chivato"
2015-04-16,"19:28:13","*989001000315515","carmen"
2015-04-16,"19:39:40","*989001003024516","chivato"
2015-04-16,"22:01:31","*989001000315515","carmen"
2015-04-16,"22:30:31","*989001000315515","carmen"
2015-04-17,"03:47:15","*989001000315515","carmen"
2015-04-17,"04:17:37","*989001003024516","chivato"
