readsite,tagsite,distance_km
tucson_4_F,tucson_6_F,35.79368844
huachuca_1_F,tucson_6_F,137.5682882
tucson_5_F,tucson_6_F,17.68890215
tucson_6_F,tucson_6_F,0
coronado,tucson_6_F,141.6957016
huachuca_2_F,tucson_6_F,133.4792521
huachuca_3_F,tucson_6_F,141.8436434
huachuca_4_F,tucson_6_F,107.0805059
organ_pipe,tucson_6_F,147.3833641
rincon,tucson_6_F,52.17114647
big_hatchet,tucson_6_F,275.6663234
silver_city_2_F,tucson_6_F,286.5093171
peloncillo_1_F,tucson_6_F,221.7590207
silver_city_1_F,tucson_6_F,279.9879228
silver_city_3_F,tucson_6_F,279.78457
fort_huachuca,tucson_6_F,113.732151
chiricahua_1_F,tucson_6_F,178.9445771
chiricahua_2_F,tucson_6_F,196.3322337
huachuca_5_F,tucson_6_F,131.2406308
silver_city_4_F,tucson_6_F,272.0942771
cdmx_1_F,tucson_6_F,1427.16768
cdmx_3_F,tucson_6_F,1443.064714
cdmx_2_F,tucson_6_F,1443.05266
azedon,tucson_6_F,920.1399795
carmen,tucson_6_F,700.7411737
chivato,tucson_6_F,926.396755
gitana,tucson_6_F,925.7899335
la_capilla,tucson_6_F,978.6926456
las_cuevas,tucson_6_F,988.1475646
pinacate,tucson_6_F,227.7055155
juxtlahuaca,tucson_6_F,2048.067237
navachiste,tucson_6_F,787.2338088
atoyac,tucson_6_F,1569.357354
mariana,tucson_6_F,307.7992655
organ_pipe_1_h2o,tucson_6_F,147.0628594
organ_pipe_2_h2o,tucson_6_F,162.1374902
organ_pipe_satellite,tucson_6_F,160.9410861
organ_pipe_3_h2o,tucson_6_F,144.466644
don_panchito,tucson_6_F,1545.189064
tucson_1_F,coronado,116.5776929
tucson_2_F,coronado,101.2715767
tucson_3_F,coronado,113.1189455
tucson_4_F,coronado,116.8219114
huachuca_1_F,coronado,8.867098752
tucson_5_F,coronado,124.4800953
tucson_6_F,coronado,141.6957016
coronado,coronado,0
huachuca_2_F,coronado,10.96670511
huachuca_3_F,coronado,5.385009659
huachuca_4_F,coronado,34.62319204
organ_pipe,coronado,248.9998613
rincon,coronado,98.46811624
big_hatchet,coronado,178.9166772
silver_city_2_F,coronado,254.602038
peloncillo_1_F,coronado,129.7766238
silver_city_1_F,coronado,248.5977573
silver_city_3_F,coronado,247.1902411
fort_huachuca,coronado,28.00000617
chiricahua_1_F,coronado,113.0017072
chiricahua_2_F,coronado,117.2213011
huachuca_5_F,coronado,11.2722746
silver_city_4_F,coronado,229.4911363
cdmx_1_F,coronado,1319.450468
cdmx_3_F,coronado,1336.105876
cdmx_2_F,coronado,1335.584187
azedon,coronado,802.7959699
carmen,coronado,596.792116
chivato,coronado,809.6839972
